Pat Garrity,13.0,11.9,1.1,2.8,.101,.091,-4.1,-2.1,-0.3,0.0
Roshown McLeod,11.3,9.1,0.3,-0.4,.035,-0.025,-7.5,-5.9,-0.5,-0.8
Ricky Davis,12.9,15.3,0.2,1.1,.015,.092,-2.6,-1.0,-0.1,0.1
Brian Skinner,13.2,11.9,0.1,0.9,.012,.057,-6.3,-3.5,-0.3,-0.3
Tyronn Lue,11.2,10.5,0.2,0.3,.062,.103,-5.7,-3.2,-0.2,0.0
Felipe Lopez,11.8,11.9,0.5,0.4,.021,.023,-2.5,-3.9,-0.2,-0.4
Sam Jacobson,20.6,11.1,0.0,0.9,.185,.063,-11.7,-3.5,0.0,-0.3
Corey Benjamin,8.3,9.7,-0.2,-0.2,-0.023,-0.013,-7.4,-4.9,-0.4,-0.6
Nazr Mohammed,10.0,7.0,0.0,-0.1,.013,-0.016,-7.5,-8.1,-0.2,-0.3
Elton Brand,20.6,20.4,7.5,6.1,.121,.101,1.8,2.2,2.9,3.0
Steve Francis,18.4,21.6,6.4,12.2,.111,.184,3.3,6.6,3.7,7.0
Baron Davis,12.9,16.6,2.1,8.9,.065,.134,-1.1,3.3,0.3,4.3
Lamar Odom,16.8,18.9,3.2,6.5,.055,.111,1.2,4.6,2.3,4.6
Wally Szczerbiak,15.4,15.8,6.2,7.4,.137,.125,1.2,1.2,1.8,2.3
Richard Hamilton,11.6,15.7,0.7,2.4,.024,.046,-4.5,-2.2,-0.9,-0.1
Andre Miller,17.9,20.1,5.3,8.0,.122,.136,1.0,2.9,1.6,3.5
Shawn Marion,17.1,21.0,4.1,11.7,.158,.196,0.9,4.2,0.9,4.5
Jason Terry,13.9,17.3,1.9,6.5,.047,.100,-1.8,1.4,0.1,2.6
Trajan Langdon,10.9,11.8,0.3,2.0,.098,.086,-2.0,-1.5,0.0,0.2
Aleksandar Radojevic,2.4,-1.5,-0.1,-0.3,-0.202,-0.117,-11.5,-9.0,-0.1,-0.2
Corey Maggette,14.1,18.2,2.6,3.9,.091,.137,-2.3,-0.5,-0.1,0.5
William Avery,6.7,9.0,-0.5,0.0,-0.046,-0.003,-7.5,-6.7,-0.7,-0.5
Metta World Peace,13.4,13.6,2.3,1.9,.050,.039,-0.3,-0.7,1.0,0.7
Cal Bowdler,10.0,15.8,0.2,1.0,.027,.134,-4.8,-2.8,-0.3,-0.1
James Posey,13.0,12.5,4.3,3.8,.101,.080,1.4,0.9,1.8,1.7
Quincy Lewis,6.6,7.1,0.3,0.3,.018,.041,-4.0,-3.3,-0.5,-0.1
Dion Glover,12.4,12.3,0.3,0.8,.029,.040,-4.0,-1.7,-0.2,0.1
Jeff Foster,25.6,12.5,0.6,2.7,.345,.113,5.6,-1.4,0.2,0.2
Kenny Thomas,12.0,11.2,2.2,2.2,.058,.058,-1.4,-1.5,0.3,0.2
Devean George,12.1,6.2,0.7,-0.3,.093,-0.023,-4.0,-7.3,-0.2,-0.8
Tim James,12.6,5.8,-0.1,0.1,-0.105,.022,-5.9,-6.8,0.0,-0.2
Vonteego Cummings,12.9,10.4,1.3,0.2,.036,.007,-2.2,-3.7,-0.1,-0.6
Jumaine Jones,12.6,14.2,0.0,2.3,.008,.125,-5.3,-0.6,-0.1,0.3
Scott Padgett,7.6,17.6,0.1,0.4,.013,.158,-3.8,0.5,-0.2,0.1
Kenyon Martin,13.4,14.5,2.1,4.9,.044,.093,-0.7,0.9,0.8,1.8
Stromile Swift,13.1,17.2,1.9,3.7,.069,.099,-1.5,-1.5,0.2,0.2
Marcus Fizer,11.0,14.2,-0.7,1.1,-0.022,.026,-7.2,-3.7,-2.1,-0.8
Mike Miller,13.2,15.0,5.3,4.5,.106,.101,-0.4,0.2,1.0,1.2
DerMarr Johnson,8.4,11.3,0.0,1.7,.000,.048,-3.3,-0.9,-0.4,0.5
Chris Mihm,12.6,10.0,1.3,0.7,.053,.019,-5.0,-6.1,-0.9,-1.7
Jamal Crawford,8.5,15.3,-0.9,0.6,-0.043,.055,-6.3,-2.2,-1.1,0.0
Joel Przybilla,5.9,10.2,0.1,1.9,.018,.079,-3.9,-1.3,-0.1,0.2
Keyon Dooling,12.6,7.4,1.4,0.0,.056,-0.010,-3.4,-7.9,-0.4,-0.2
Jerome Moiso,3.2,5.9,-0.3,-0.1,-0.096,-0.040,-11.9,-7.1,-0.3,-0.1
Etan Thomas,15.7,15.8,1.6,1.3,.127,.125,-2.9,-5.6,-0.1,-0.5
Courtney Alexander,11.6,6.8,0.8,-0.1,.027,-0.013,-4.4,-6.6,-0.8,-0.5
Mateen Cleaves,9.0,8.8,-0.1,-0.3,-0.006,-0.082,-5.2,-9.8,-1.0,-0.3
Jason Collier,7.4,11.1,0.0,0.4,-0.001,.057,-8.0,-5.3,-0.3,-0.3
Desmond Mason,10.5,13.4,1.7,4.7,.055,.093,-3.0,-1.6,-0.4,0.3
Quentin Richardson,16.5,17.4,3.0,5.6,.106,.125,-0.3,1.4,0.6,1.8
Jamaal Magloire,13.4,18.8,2.6,5.7,.114,.177,-2.8,-1.3,-0.2,0.3
Speedy Claxton,12.6,15.9,2.8,1.2,.087,.125,-0.7,0.0,0.5,0.2
Morris Peterson,14.1,15.3,3.6,4.9,.096,.119,-0.1,1.2,0.8,1.6
Donnell Harvey,9.8,14.1,0.1,1.8,.039,.105,-5.2,-1.0,-0.1,0.2
Mamadou N'Diaye,6.6,20.6,0.0,0.3,.083,.265,-13.6,-4.4,0.0,0.0
Erick Barkley,10.3,9.8,-0.1,0.2,-0.075,.044,-7.0,-3.3,0.0,-0.1
Mark Madsen,9.2,12.7,1.1,1.9,.085,.142,-2.8,0.6,-0.1,0.4
Jason Richardson,13.8,14.8,2.9,3.7,.052,.066,-0.5,-0.4,1.0,1.1
Shane Battier,13.9,15.0,4.8,6.2,.074,.126,1.9,3.6,3.0,3.4
Eddie Griffin,13.8,15.4,2.4,3.9,.061,.100,-2.0,0.4,0.0,1.1
Rodney White,11.0,9.8,-0.2,-0.4,-0.056,-0.011,-6.6,-4.4,-0.2,-1.0
Joe Johnson,11.8,12.0,3.0,2.0,.075,.094,-1.1,-1.3,0.4,0.2
Kedrick Brown,11.9,8.8,0.4,0.5,.075,.037,-1.2,-4.4,0.1,-0.4
Richard Jefferson,13.4,16.6,4.7,9.9,.117,.164,-0.4,1.9,0.8,2.9
Troy Murphy,10.3,15.9,1.4,6.4,.046,.122,-4.1,-0.7,-0.8,0.8
Steven Hunter,12.9,13.4,1.0,0.9,.094,.099,-4.9,-2.3,-0.4,0.0
Kirk Haston,4.0,-9.1,-0.2,-0.4,-0.116,-0.307,-12.1,-15.4,-0.2,-0.2
Michael Bradley,9.9,12.8,0.1,1.5,.053,.056,-5.5,-2.6,-0.1,-0.2
Jason Collins,10.7,9.9,3.0,4.7,.104,.119,-0.9,-0.6,0.4,0.7
